doc_number,date,publication_type,patent_length,title,abstract,description,claims
D0760759,20160705,S1,14,Display screen or portion thereof with graphical user interface,,,"['The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described.']"
D0760773,20160705,S1,14,Display screen or portion thereof with animated graphical user interface,,,"['We claim, the ornamental design for a display screen or portion thereof with animated graphical user interface, as shown and described.']"
D0760787,20160705,S1,14,Display screen or portion thereof with icon,,,"['We claim, the ornamental design for a display screen or portion thereof with icon, as shown and described.']"
D0760801,20160705,S1,15,Display screen with icon,,,"['The ornamental design for a display screen with icon, as shown and described.']"
D0760815,20160705,S1,14,Hood for an agricultural machine,,,"['The ornamental design for a hood for an agricultural machine, as shown and described.']"
D0760829,20160705,S1,15,Cylindrical camera,,,"['The ornamental design for a cylindrical camera, as shown and described.']"
D0760843,20160705,S1,15,Checker type game kit,,,"['The ornamental design for a checker type game kit, as shown and described.']"
D0760857,20160705,S1,15,Tent foot device,,,"['The ornamental design for a tent foot device, as shown and described.']"
D0760871,20160705,S1,14,Gas pressure regulator having stacked indicators,,,"['The ornamental design for a gas pressure regulator having stacked indicators, as shown and described.']"
D0760885,20160705,S1,15,Aroma nebulizing diffuser,,,"['The ornamental design for an aroma nebulizing diffuser, as shown and described.']"
D0760899,20160705,S1,15,Female intravaginal incontinence device,,,"['The ornamental design for a female intravaginal incontinence device, as shown and described.']"
D0760913,20160705,S1,15,Light therapy luminaire,,,"['The ornamental design for a light therapy luminaire, as shown and described.']"
D0760927,20160705,S1,14,Working lamp,,,"['The ornamental design for a working lamp, as shown and described.']"
D0760941,20160705,S1,14,Desk lamp,,,"['The ornamental design for a desk lamp, as shown and described.']"
D0760955,20160705,S1,14,Hair clipper blade,,,"['The ornamental design for a hair clipper blade, as shown and described.']"
D0760969,20160705,S1,14,Cleaner,,,"['The ornamental design for a cleaner, as shown and described.']"
D0760983,20160705,S1,15,Sink accessory,,,"['We claim the ornamental design for a sink accessory, as shown and described.']"
PP026903,20160705,P3,,Grapevine plant named Sugrafortysix,"A new and distinct grapevine variety Sugrafortysix is characterized in that it produces large, red and ovoid berries and has a large bunch size. The berries of Sugrafortysix are firm and very juicy. The new variety Sugrafortysix is characterized by an earlier harvest date compared to Scarlet Royal (U.S. Plant Pat. No. 16,229).",,['1. A new and distinct variety of grapevine as herein illustrated and described.']
RE046050,20160705,E1,,Aerosol delivery apparatus,"An apparatus and method for performing positive pressure (PP) therapy alone or in combination with an aerosol delivery apparatus. The positive pressure apparatus includes a positive pressure valve having a continuously variable respiratory window. The PP valve may be associated with a patient respiratory system interface alone, such as, but not limited to, a mask or mouthpiece, or in combination with an aerosol delivery apparatus.","As has been described, a method and apparatus for providing positive expiration, or inhalation, pressure therapy, with or without separate aerosol generating devices, has been disclosed. The aerosol delivery apparatus with the PP apparatus may be used alone or in combination with a mask or mouthpiece. Also, an improved aerosol delivery apparatus with an integrated actuator has been shown, wherein the improvement comprises a PP valve. The discussion above is descriptive, illustrative and exemplary and is not to be taken as limiting the scope defined by any appended claims.","['1. A positive respiratory pressure apparatus comprising: a patient respiratory system interface; a one-way valve positionable in the patient respiratory interface and configured to pass a fluid traveling in a predetermined direction from a first side to a second side of the one-way valve; and wherein the patient respiratory system interface comprises a bypass window integral with, and defined by, the patient respiratory interface, the bypass window positioned adjacent the one-way valve, and wherein the patient respiratory interface further comprises a window opening adjustment mechanism movably disposed in the patient respiratory system interface and operable to change a size of an opening between the patient respiratory system interface and ambient air outside of the patient respiratory system interface, whereby the bypass window and window opening adjustment mechanism cooperate to selectively create one of a plurality of fluid resistances.', '2. The apparatus of claim 1', '3. The apparatus of claim 1', '4. The apparatus of claim 3', '5. The apparatus of claim 1', '6. The apparatus of claim 1', '7. The apparatus of claim 6', '8. The apparatus of claim 6', '9. The apparatus of claim 8', '10. The apparatus of claim 6', '11. The apparatus of claim 1', '12. The apparatus of claim 1', '13. The apparatus of claim 1', '14. The apparatus of claim 13', '15. The apparatus of claim 13', '16. The apparatus of claim 13', '17. The apparatus of claim 1', '18. The apparatus of claim 1', '19. The apparatus of claim 1', '20. The apparatus of claim 19', '21. The apparatus of claim 19', '22. A respiratory apparatus comprising: a holding chamber having an input end and an output end and defining a longitudinal flow axis therebetween, the longitudinal flow axis extending in a longitudinal direction; a patient respiratory system interface disposed on the output end of the holding chamber, the patient respiratory system interface comprising a mouthpiece portion and a retainer portion, wherein the mouthpiece portion comprises a first wall having inner and outer surfaces and a second wall having inner and outer surfaces, wherein the inner surface of the first wall is laterally spaced apart from the outer surface of the second wall so as to form a gap between the first and second walls, the first wall extending in a longitudinal direction and defining a cavity surrounding the longitudinal flow axis, and the second wall extending in the longitudinal direction and having an end defining a first sealing surface, wherein the retainer portion defines a second sealing surface, wherein the second wall of the mouthpiece portion defines an expiratory path window and wherein the second sealing surface of the retainer portion is disposed in the cavity; and an inhalation flow control member disposed in the cavity and comprising a circumferential valve seat member lying orthogonal to the longitudinal axis and seated between the first and second sealing surfaces.', '23. A respiratory apparatus comprising: a holding chamber having an input end and an output end and defining a longitudinal flow axis therebetween, the longitudinal flow axis extending in a longitudinal direction; a patient respiratory system interface disposed on the output end of the holding chamber, the patient respiratory system interface comprising a mouthpiece portion and a retainer portion, wherein the mouthpiece portion comprises an outer wall and an inner wall, the outer wall extending in a longitudinal direction and defining a cavity surrounding the longitudinal flow axis, and the inner wall extending in the longitudinal direction and having an end defining a first sealing surface, wherein the retainer portion defines a second sealing surface, wherein the inner wall of the mouthpiece portion defines an expiratory path window and wherein the second sealing surface of the retainer portion is disposed in the cavity; an inhalation flow control member disposed in the cavity and comprising a circumferential valve seat member lying orthogonal to the longitudinal axis and seated between the first and second sealing surfaces; and an exhalation flow control member separate from the inhalation flow control member and moveably coupled to the mouthpiece portion of the patient respiratory system interface, wherein the exhalation flow control member extends in the longitudinal direction.', '24. The respiratory apparatus of claim 22 wherein the inhalation flow control member comprises a duck-bill valve.', '25. The respiratory apparatus of claim 22 wherein the retainer portion comprises an annular wall extending longitudinally from an end of the first wall of the mouthpiece portion toward the output end of the holding chamber, the annular wall fitting over and mating the output end of the holding chamber.', '26. The respiratory apparatus of claim 22 wherein the retainer portion is releasably coupled to the mouthpiece portion.', '27. The respiratory apparatus of claim 22 wherein the retainer portion is coupled to the mouthpiece portion with a snap-fit.', '28. The respiratory apparatus of claim 22 wherein the retainer portion comprises tabs received in apertures formed in the mouthpiece portion such that the retainer portion is coupled to the mouthpiece portion.', '29. The respiratory apparatus of claim 23 wherein the mouthpiece portion comprises a front wall facing the user and extending transverse to the longitudinal direction, wherein the exhalation flow control member comprises a portion extending through the front wall of the mouthpiece portion so as to be exposed to a user.', '30. The respiratory apparatus of claim 22 wherein the mouthpiece and retainer portions are permanently joined.', '31. The respiratory apparatus of claim 30 wherein the mouthpiece and retainer portions are bonded.', '32. The respiratory apparatus of claim 22 further comprising a backpiece coupled to the input end of the holding chamber.', '33. The respiratory apparatus of claim 32 further comprising an aerosol delivery device containing a medicament coupled to the backpiece of the holding chamber.', '34. The respiratory apparatus of claim 33 wherein the aerosol delivery device comprises a pressurized metered dose inhaler.', '35. The respiratory apparatus of claim 25 wherein the annular wall is non-circular.']"
09380740,20160705,B2,,Electric handheld broadcast spreader,A preferred embodiment of the invention generally comprises a hopper container attached to the top face of a spreader console having an electrically-powered spreader plate positioned within a distribution opening in the front center of the front face of the spreader console and operated with a spreader control switch extending down from the right side of the lower horizontal base of the spreader console. A conventional electric motor is housed in a motor compartment that extends from the center of the lower horizontal base of the spreader console. A conventional battery is housed within a battery compartment located on the left side of the motor compartment. The battery compartment is accessed via an access panel. It is contemplated that the device will be carried by the user in front of his body while walking over the area where the material is to be distributed.,"The above-listed sections and included information are not exhaustive and are only exemplary of the invention. The particular sections and included information in a particular embodiment may depend upon the particular implementation and the included devices and resources. Although a system and method according to the present invention have been described in connection with the preferred embodiments, it is not intended to be limited to the specific form set forth herein, but, on the contrary, it is intended to cover such alternatives, modifications, and equivalents as can be reasonably included within the spirit and scope of the invention as defined by the appended claims.","['1. A handheld broadcast spreader, comprising: a hopper container; a spreader console attached to the hopper container; the spreader console comprising a motor for spinning a spreader plate connected to the motor, a distribution opening through which material is distributed, and an opening above the spreader plate with a closure member that closes and opens the passageway to the distribution opening to feed material from the hopper to the spreader plate; and a spreader control switch that turns on the motor to spin the spreader plate when engaged; said spreader control switch also having a connection to the closure member to move the closure member from the opening above the spreader plate to an open position when engaged to cause material to flow onto the spreader plate and out of the distribution opening to spread material from the distribution opening when the closure member is opened and the spreader plate spins, and to move the closure member to its closed position when the spreader control switch is disengaged; a horizontal track that comprises an opening that aligns with the bottom of the funnel shaped opening when the spreader control switch is pushed upward in order to control the amount of material that flows from the hopper to the spreader plate to be distributed.', '2. The handheld broadcast spreader of claim 1 a vertical grooved track that is pushed upward by the upward motion of the spreader control switch that then causes the horizontal track to move back and forth.', '3. The handheld broadcast spreader of claim 2', '4. The handheld broadcast spreader of claim 3', '5. The handheld broadcast spreader of claim 1', '6. The handheld broadcast spreader of claim 1', '7. The handheld broadcast spreader of claim 6', '8. The handheld broadcast spreader of claim 6', '9. The handheld broadcast spreader of claim 1', '10. The handheld broadcast spreader of claim 1', '11. The handheld broadcast spreader of claim 1', '12. The handheld broadcast spreader of claim 1', '13. The handheld broadcast spreader of claim 1', '14. The handheld broadcast spreader of claim 13', ""15. The handheld broadcast spreader of claim 1 a shoulder strap so that the spreader may be worn around a user's neck in front of the body of the user."", '16. A method of spreading material with a handheld broadcast spreader, comprising the steps of: engaging a spreader control switch to turns on a motor to spin a spreader plate to broadcast material from a hopper; engaging said spreader control switch further to move and align an opening in a horizontal track-from an opening above the spreader plate to an open position when engaged to cause material to flow onto the spreader plate from a hopper and out of a distribution opening to spread material from the distribution opening when the closure member is opened and the spreader plate spins, and to move the closure member to its closed position when the spreader control switch is disengaged in order to control the amount of material that flows from the hopper to the spreader plate to be distributed.']"
09380754,20160705,B1,,Maize inbred PH2F3V,"A novel maize variety designated PH2F3V and seed, plants and plant parts thereof. Methods for producing a maize plant that comprise crossing maize variety PH2F3V with another maize plant. Methods for producing a maize plant containing in its genetic material one or more traits introgressed into PH2F3V through backcross conversion and/or transformation, and to the maize seed, plant and plant part produced thereby. Hybrid maize seed, plant or plant part produced by crossing the variety PH2F3V or a locus conversion of PH2F3V with another maize variety.","The foregoing invention has been described in detail by way of illustration and example for purposes of clarity and understanding. As is readily apparent to one skilled in the art, the foregoing are only some of the methods and compositions that illustrate the embodiments of the foregoing invention. It will be apparent to those of ordinary skill in the art that variations, changes, modifications and alterations may be applied to the compositions and/or methods described herein without departing from the true spirit, concept and scope of the invention.","['1. A seed, plant, plant part, or cell of inbred maize variety PH2F3V, representative seed of said variety having been deposited under ATCC accession number PTA-123024.', '2. An F1 hybrid maize seed produced by crossing the plant or plant part of claim 1', '3. A maize plant produced by growing the maize seed of claim 2', '4. A method for producing a second maize plant comprising applying plant breeding techniques to a first maize plant, or parts thereof, wherein said first maize plant is the maize plant of claim 3', '5. The method of claim 4 (a) crossing said first maize plant with itself or another maize plant to produce seed of a subsequent generation; (b) harvesting and planting the seed of the subsequent generation to produce at least one plant of the subsequent generation; and (c) repeating steps (a) and (b) for an additional 2-10 generations to produce the second maize plant.', '6. The method for producing a second maize plant of claim 4 (a) crossing said first maize plant with an inducer variety to produce haploid seed; and (b) doubling the haploid seed to produce the second maize plant.', '7. A converted seed, or a converted plant, plant part, or cell of inbred maize variety PH2F3V, representative seed of said variety having been deposited under ATCC accession number PTA-123024, said converted seed, converted plant, plant part or cell comprising a locus conversion, wherein (i) the converted seed produces a plant which has said locus conversion and otherwise all of the phenotypic characteristics of inbred maize variety PH2F3V; (ii) the converted plant has said locus conversion and otherwise all of the phenotypic characteristics of maize variety PH2F3V; or (iii) the plant part or cell is obtained from the converted seed or the converted plant and has said locus conversion and otherwise all of the phenotypic characteristics of maize variety PH2F3V.', '8. The converted seed, converted plant, plant part, or cell of claim 7', '9. A method for producing a maize seed, the method comprising crossing the converted plant or plant part of claim 7', '10. A method for producing a maize plant, the method comprising growing the seed produced by the method of claim 9', '11. A method for producing a second maize plant comprising applying plant breeding techniques to a first maize plant, or parts thereof, wherein said first maize plant is grown from the seed produced by the method of claim 9', '12. The method for producing a second maize plant of claim 11 (a) crossing said first maize plant with itself or another maize plant to produce seed of a subsequent generation; (b) harvesting and planting the seed of the subsequent generation to produce at least one plant of the subsequent generation; and (c) repeating steps (a) and (b) for an additional 2-10 generations to produce the second maize plant.', '13. The method of claim 11 (a) crossing said first maize plant with an inducer variety to produce haploid seed; and (b) doubling the haploid seed to produce the second maize plant.', '14. The F1 hybrid seed of claim 2', '15. A method of making a commodity comprising producing the commodity from the maize plant of claim 3']"
09380768,20160705,B2,,Red transgenic fluorescent ornamental fish,"The present invention relates to transgenic red ornamental fish, as well as methods of making such fish by in vitro fertilization techniques. Also disclosed are methods of establishing a population of such transgenic fish and methods of providing them to the ornamental fish industry for the purpose of marketing.","The following references, to the extent that they provide exemplary procedural or other details supplementary to those set forth herein, are specifically incorporated herein by reference.","['1. A transgenic tetra comprising a chromosomally integrated expression cassette encoding a fluorescent protein, wherein the tetra comprises the Red tetra 1 transformation event, sperm comprising the Red tetra 1 transformation event having been deposited as ECACC accession no. 14011701.', '2. The transgenic tetra of claim 1', '3. The transgenic tetra of claim 1', '4. The transgenic tetra of claim 1', '5. The transgenic tetra of claim 1', '6. A method of providing a transgenic tetra to the ornamental fish market, comprising obtaining a transgenic tetra in accordance with claim 1', '7. The method of claim 6', '8. The method of claim 6', '9. The method of claim 8', '10. A method of producing a transgenic tetra comprising: (a) obtaining a tetra that comprises a chromosomally integrated expression cassette encoding a fluorescent protein, wherein the tetra comprises the Red tetra 1 transformation event, sperm comprising the Red tetra 1 transformation event having been deposited as ECACC accession no. 14011701; and (b) breeding the obtained tetra with a second tetra to provide a transgenic tetra comprising the Red tetra 1 transformation event.', '11. The method of claim 10', '12. A progeny of a transgenic tetra of claim 1', '13. The progeny fish of claim 12', '14. The progeny fish of claim 12', '15. The progeny fish of claim 12', '16. The progeny fish of claim 12', '17. A method of providing a transgenic fish to the ornamental fish market, comprising obtaining a progeny fish in accordance with claim 12', '18. The method of claim 17', '19. The method of claim 17', '20. The method of claim 19', '21. A method of producing a transgenic fish comprising: (a) obtaining a transgenic fish in accordance with claim 12 (b) breeding the obtained fish with a second fish to provide a transgenic fish comprising the Red tetra 1 transformation event.', '22. The method of claim 21']"
09380796,20160705,B1,,Crab cleaner,A crab cleaner including a base and a wedge blade fixedly disposed atop the base. A rounded apex of the wedge blade is provided for splitting the crab's carapace into right and left halves upon pushing the carapace forward side onto the apex with a quick downward motion.,The base,"[""1. A crab cleaner comprising: a base having a top side, a bottom side, a front side, a rear side, a left side, and a right side, wherein the base has a length from the front side to the rear side being the same length as at least a crab's entire carapace, wherein the base length is configured to permit positioning of the crab's entire carapace directly above the top side without extending beyond the top side; and a wedge blade extending vertically from the top side in a position parallel to each of the right and left sides of the base, the wedge blade having an underside fixedly disposed directly on the base top side, a rearward end on the top side directly adjacent the rear side of the base, a forward end on the top side proximal the front side of the base; wherein the wedge blade has an isosceles triangular cross-section, wherein the underside has a length shorter than a length of the two other sides of the wedge blade; wherein the wedge blade has a rounded apex configured to provide a splitting surface to split the crab's carapace into approximately right and left halves along a midline axis from a forward side of the carapace to a rearward side of the carapace."", '2. The crab cleaner of claim 1 a handle opening disposed in the base between the front side and the forward end of the wedge blade.', '3. The crab cleaner of claim 2', ""4. A crab cleaner comprising: a parallelepiped base having a top side, a bottom side, a front side, a rear side, a left side, and a right side, wherein the base has a length from the front side to the rear side being the same length as at least a crab's entire carapace, wherein the base length is configured to permit positioning of the crab's entire carapace directly above the top side without extending beyond the top side; a wedge blade extending vertically from the top side in a position parallel to each of the right and left sides of the base, the wedge blade having an underside fixedly disposed directly on the base top side, a rearward end on the top side directly adjacent the rear side of the base, and a forward end on the top side proximal the front side of the base; an obround handle opening disposed in the base between the front side and the forward end of the wedge blade; wherein the wedge blade has an isosceles triangular cross-section, wherein the underside has a length shorter than a length of the two other sides of the wedge blade; and wherein the wedge blade has a rounded apex configured to provide a splitting surface to split the crab's carapace into approximately right and left halves along a midline axis from a forward side of the carapace to a rearward side of the carapace.""]"
09380810,20160705,B2,,Tobacco-based nicotine aerosol generation system,"The invention relates to devices and methods for delivering nicotine and/or other alkaloids from tobacco, other plants and other natural sources. More particularly, the invention relates to devices and methods for delivering an aerosol of nicotine to a user's lungs without combustion of the nicotine source materials.","All references and other information cited to, or otherwise identified herein, are hereby incorporated by reference in their entireties as if each had been separately so incorporated.","['1. A device for delivering nicotine to a subject, the device comprising a noncombustible housing, the noncombustible housing comprising: a) an inlet and an outlet in communication with each other and adapted so that a gaseous carrier may pass into the housing through the inlet, through the housing and out of the housing through the outlet, the device comprising from inlet to outlet; b) a first internal area in communication with the inlet, the first internal area comprising either a source of a compound for forming particles comprising nicotine, or a source of a natural product nicotine comprising powdered tobacco; and c) a second internal area in communication with the first internal area, the second internal area comprising the source not selected for step b.', '2. The device according to claim 1', '3. The device according to claim 1', '4. A device for delivering nicotine to a subject, the device comprising a noncombustible housing, the noncombustible housing comprising: a) a first inlet, a second inlet and an outlet in communication with each other and adapted so that a first gaseous carrier may pass into the noncombustible housing through the first inlet, through the noncombustible housing and out of the noncombustible housing through the outlet, and a second gaseous carrier may pass into the noncombustible housing through the second inlet, through the noncombustible housing and out of the noncombustible housing through the outlet, the device comprising: b) a first internal area in communication with the first inlet, the first internal area comprising a source of a compound for forming particles comprising nicotine; c) a second internal area in communication with the second inlet, the second internal area comprising a source of a natural product nicotine comprising powdered tobacco; and d) a third internal area in communication with the first and second internal areas and the outlet.', '5. The device according to claim 1', '6. The device according to claim 1', '7. The device according to claim 6', '8. The device according to claim 1', '9. The device according to claim 1', '10. The device according to claim 9', '11. The device according to claim 1', '12. The device according to claim 11', '13. The device according to claim 12', '14. The device according to claim 13', '15. The device according to claim 1', '16. The device according to claim 1', '17. The device according to claim 1', '18. The device according to claim 16', '19. The device according to claim 1', '20. The device according to claim 1', '21. The device according to claim 1', '22. The device according to claim 1 a) Minutizing the natural product nicotine source such as cutting, chopping or grinding; b) Raising the pH of the natural product nicotine source above neutral pH, c) Mixing or homogenization of the natural product nicotine source to produce a liquefied suspension, optionally clarified to remove some to all visible particulate matter; d) Supplementing the natural product nicotine source with nicotine base; e) Treating the natural product nicotine source with enzymes or detergents to break down the cellulose contained therein in order to render the nicotine more available for release through volatilization or other means; f) Using molecular sieves or other desiccants to reduce the water content of the natural product nicotine source in order to increase the relative concentration of nicotine; and g) Using high salt content solution to extract nicotine.', '23. A method of delivering nicotine to a subject by inhalation, the method comprising the steps of: a) first placing a gaseous carrier in communication with either a source of a compound for forming particles comprising nicotine, or a source of a natural product nicotine source comprising powdered tobacco; b) second placing the gaseous carrier in communication with the source not selected for step a) to form particles comprising nicotine; and c) third providing the gaseous carrier comprising the particles comprising nicotine to a subject, wherein first and second step is performed at a temperature below 150 degrees centigrade.', '24. The method according to claim 23 a) first placing the gaseous carrier in communication with the compound for forming particles comprising a source of nicotine to form a loaded gaseous carrier; b) second placing the loaded gaseous carrier in communication with the natural product nicotine source comprising powdered tobacco to form the particles comprising nicotine; and c) third providing the gaseous carrier comprising the particles comprising nicotine to a subject.', '25. A method of delivering nicotine to a subject by inhalation, the method comprising the steps of: a) placing a first gaseous carrier in communication with a source of a compound for forming particles comprising nicotine; b) placing a second gaseous carrier in communication with a source of natural product nicotine comprising powdered tobacco; c) combining the first and second gaseous carriers to form nicotine particles in a combined gaseous carrier; and d) providing the combined gaseous carrier comprising the nicotine particles to a subject wherein the placing steps and the combining step are performed at a temperature below 100 degrees centigrade.', '26. The method according to claim 23', '27. The method according to claim 23', '28. The method according to claim 23 a) Minutizing the natural product nicotine source such as cutting, chopping or grinding; b) Raising the pH of the natural product nicotine source above neutral pH; c) Mixing or homogenization of the natural product nicotine source to produce a liquefied suspension, optionally clarified to remove some to all visible particulate matter; d) Supplementing the natural product nicotine source with nicotine base; e) Treating the natural product nicotine source with enzymes or detergents to break down the cellulose contained therein in order to render the nicotine more available for release through volatilization or other means; f) Using molecular sieves or other desiccants to reduce the water content of the natural product nicotine source in order to increase the relative concentration of nicotine; and g) Using high salt content solution to extract nicotine.', '29. The method according to claim 23', '30. The method of tobacco product substitution comprising delivering nicotine to a subject by a method according to claim 23']"
09380824,20160705,B2,,Adjustable helmet and head massager,"An adjustable helmet and a head massager are provided. The adjustable helmet comprises a ring-shaped latitudinal shell and a longitudinal shell connected across the latitudinal shell, at least one of the longitudinal shell and the latitudinal shell has an adjustable means, the inside of the adjustable means has a bidirectional locking structure. In the embodiments, the adjustable means has a bidirectional locking structure which can lock the latitudinal shell or longitudinal shell in bi-direction. When the latitudinal shell or longitudinal shell is disengaged or contracted by the adjustable means and is locked by the bidirectional locking structure, the latitudinal shell or longitudinal shell is fixed in the expanding direction or contracting direction and can't continue to be expanded or contracted inwards. Advantageously, the helmet in use has a constant size, which is useful for users, when the above-mentioned adjustable helmet is applied to a head massager, it's convenient for massage.","The above-mentioned is only the preferred embodiments of the present invention, but places no limit to the invention. Therefore, any modification, equivalent replacement and improvement etc on the basis of the spirit and principle of invention shall be within the protective scope of the present invention.","['1. An adjustable helmet, comprising: a ring-shaped latitudinal shell, and a longitudinal shell connected across the latitudinal shell, wherein at least one of the longitudinal shell and the latitudinal shell has an adjustable mechanism which is able to adjust the length of the shell, wherein an inside of the adjustable mechanism has a bidirectional locking structure, wherein the at least one of the latitudinal shell and the longitudinal shell includes two separate straps, the two separate straps are movable toward each other through the adjustable mechanism, wherein the bidirectional locking structure comprises a ratchet wheel and a ratchet wheel base engaged with the ratchet wheel, and wherein the ratchet wheel comprises a first ratchet buckle and a second ratchet buckle having a direction opposite to that of the first ratchet buckle, the ratchet wheel base is disposed around the ratchet wheel, the ratchet wheel base has a first ratchet ring and a second ratchet ring respectively matched with the first ratchet buckle and the second ratchet buckle.', '2. The adjustable helmet of claim 1', '3. The adjustable helmet of claim 2', '4. The adjustable helmet of claim 1', '5. The adjustable helmet of claim 2', '6. The adjustable helmet of claim 1', '7. The adjustable helmet of claim 1', '8. The adjustable helmet of claim 2', '9. The adjustable helmet of claim 3', '10. The adjustable helmet of claim 3', '11. The adjustable helmet of claim 6', '12. A massager comprising, a helmet; and a massage unit mounted on the helmet, wherein the helmet is the adjustable helmet of claim 1', '13. The massager of claim 12', '14. The massager of claim 12', '15. The massager of claim 12', '16. The massager of claim 13', '17. The massager of claim 12', '18. The massager of claim 12', '19. The massager of claim 12', '20. The massager of claim 12']"
